n_rooms,n_toilets,area,x,y,distance_UBND,district,polistic,furniture,house_direct,balcony_direct,n_hospitals,n_schools,price
2,2,73,21.00522614,105.7389145,7.58,Nam Tu Liem,hdmb,cao cap,Tay - Nam,Dong - Bac,0,0,44.10958904
3,2,92,21.08515009,105.7884798,4.52,Bac Tu Liem,so do,day du,Tay - Bac,Dong - Nam,1,6,23.91304348
1,1,28.7,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,0,45.29616725
2,2,83,21.03656769,105.7604828,4.47,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,1,6,41.56626506
2,2,81,21.02216148,105.7717972,3.89,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,0,3,44.19753086
3,2,100,21.01188278,105.7864456,3.6,Nam Tu Liem,so do,day du,Dong - Nam,Dong - Bac,2,8,45
2,2,86.4,21.00826073,105.7960434,3.57,Cau Giay,so do,cao cap,Dong - Nam,Tay - Bac,2,12,59.02777778
3,2,75,20.97700119,105.8965607,11.31,Hoang Mai,so do,co ban,Tay - Bac,Dong - Nam,1,0,28
2,2,63,21.08234978,105.8717575,7.78,Dong Anh,chua so,cao cap,Tay - Bac,Dong - Nam,0,1,28.57142857
3,2,82,21.00657463,105.7450485,6.99,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,0,38.17073171
1,1,28.7,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,0,45.29616725
2,2,87,20.99479103,105.8678436,7.94,Hai Ba Trung,so do,cao cap,Bac,Nam,0,5,47.12643678
2,2,65,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,13,66.15384615
1,1,44,21.06287956,105.7222366,8.49,Hoai Duc,chua so,co ban,Tay - Bac,Dong - Nam,0,0,21
2,2,62,21.03158569,105.7604523,4.57,Nam Tu Liem,so do,day du,Dong,Tay,1,5,41.93548387
2,1,55,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Dong - Nam,Tay - Bac,0,0,30.54545455
2,1,47,21.0186842,105.838221,4.14,Dong Da,so do,day du,Tay,Dong - Nam,2,5,12.76595745
1,1,26,20.99895859,105.7880325,4.7,Nam Tu Liem,so do,nguyen_ban,Dong - Nam,Dong - Nam,3,6,38.46153846
3,3,132,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,4,17,45.45454545
3,2,100,21.06909752,105.8880386,8.73,Long Bien,hdmb,cao cap,Tay - Bac,Dong - Nam,2,5,33
2,2,74,20.97434616,105.7541656,8.52,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,0,2,33.78378378
2,2,75,21.06909752,105.8880386,8.73,Long Bien,hdmb,day du,Tay - Bac,Dong - Nam,2,5,36
2,1,48,21.0086145,105.834091,4.52,Dong Da,so do,day du,Tay,Dong - Nam,2,8,16.66666667
2,2,59,20.95990562,105.7918015,8.4,Ha Dong,so do,day du,Dong - Bac,Tay - Nam,2,6,37.28813559
2,1,45,20.9961581,105.8618348,7.38,Hoang Mai,so do,day du,Tay,Dong - Nam,0,6,13.77777778
2,2,96,20.9934864,105.8069077,4.95,Thanh Xuan,so do,day du,Dong,Tay,5,14,43.75
2,2,71.6,20.95977592,105.7418823,10.42,Ha Dong,so do,co ban,Dong - Bac,Tay - Nam,0,1,23.74301676
3,2,152.6,21.07016945,105.9068375,10.57,Long Bien,so do,day du,Dong - Nam,Dong - Bac,2,6,28.50589777
1,1,30,20.9837461,105.8411144,6.95,Hoang Mai,so do,day du,Tay - Nam,Dong - Bac,2,6,20
3,2,95,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Tay - Nam,Dong - Bac,1,3,42.73684211
3,2,119,21.07213593,105.810997,2.99,Tay Ho,so do,cao cap,Tay - Bac,Dong - Nam,0,2,33.61344538
3,2,93,21.09191704,105.7850037,5.28,Bac Tu Liem,so do,day du,Bac,Nam,1,4,27
3,2,109,21.06583977,105.7981491,2.38,Bac Tu Liem,so do,co ban,Tay,Dong,1,2,41.28440367
3,2,110.7,21.06583977,105.7981491,2.38,Bac Tu Liem,chua so,day du,Nam,Bac,1,2,51.49051491
2,2,81,21.02041626,105.8072433,2.26,Dong Da,so do,day du,Tay,Dong,3,17,83.95061728
2,2,70,21.02097893,105.7910614,2.58,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,2,7,45.71428571
2,1,84,20.96246719,105.792366,8.14,Ha Dong,so do,day du,Dong - Nam,Tay - Nam,2,5,23
2,2,71,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,cao cap,Dong - Bac,Tay - Nam,0,0,43.66197183
2,2,71,21.00522614,105.7389145,7.58,Nam Tu Liem,so do,cao cap,Dong - Bac,Tay - Nam,0,0,43.66197183
2,2,70,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Bac,Nam,1,3,41.42857143
2,2,74,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,4,64.86486486
4,3,160.08,21.00522614,105.8050613,3.77,Thanh Xuan,so do,co ban,Dong - Bac,Tay - Bac,4,20,57.15892054
2,2,94,21.01655388,105.7462845,6.41,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,0,26.06382979
3,3,124,21.01655388,105.7462845,6.41,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,0,23.5483871
3,2,104,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,co ban,Tay - Nam,Dong - Bac,0,5,56.73076923
4,3,127,20.94645882,105.8557816,10.92,Thanh Tri,so do,day du,Dong - Nam,Tay - Bac,3,5,23.97637795
2,1,63,20.99895859,105.7880325,4.7,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,3,6,44.44444444
2,2,60,20.99477196,105.8061295,4.82,Thanh Xuan,chua so,day du,Tay - Bac,Dong - Nam,5,14,45
3,2,115,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,cao cap,Tay - Bac,Dong - Nam,0,6,33.04347826
2,2,71.8,21.04273033,105.730217,7.45,Hoai Duc,chua so,day du,Dong - Nam,Tay - Bac,1,0,19.49860724
2,1,59,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Bac,Dong - Nam,0,0,27.45762712
3,2,98.4,21.07865143,105.8026123,3.58,Tay Ho,so do,cao cap,Nam,Bac,0,1,42.7
2,1,57,21.07865143,105.8026123,3.58,Tay Ho,so do,day du,Bac,Nam,0,1,44
1,1,49.5,21.00174141,105.9421463,14.35,Gia Lam,so do,day du,Tay - Nam,Dong - Bac,0,3,33.85858586
2,2,45,21.02819061,105.7791977,2.95,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,4,33.33333333
